"exp_table$target_id","Coculture_01_M","Coculture_02_M","Coculture_03_M","Coculture_04_M","SMutans_01_M","SMutans_02_M","SMutans_03_M","SMutans_04_M"
"xylR__HW372_RS00770_rc_163735",NA,NA,NA,NA,NA,NA,NA,NA
"xylH__HW372_RS00775_rc_164994",NA,NA,NA,NA,NA,NA,NA,NA
"xylG__HW372_RS00780_rc_166513",NA,NA,NA,NA,NA,NA,NA,NA
"xylF__HW372_RS00785_rc_167583",NA,NA,NA,NA,NA,NA,NA,NA
"xylA__HW372_RS00790_167949",NA,NA,NA,NA,NA,NA,NA,NA
"xylB__HW372_RS00795_169343",NA,NA,NA,NA,NA,NA,NA,NA
"yiaB__HW372_RS00800_170966",NA,NA,NA,NA,NA,NA,NA,NA
"yiaA__HW372_RS00805_171353",NA,NA,NA,NA,NA,NA,NA,NA
"wecH__HW372_RS00810_rc_172827",NA,NA,NA,NA,NA,NA,NA,NA
"ysaB__HW372_RS00815_173002",NA,NA,NA,NA,NA,NA,NA,NA
"glyQ__HW372_RS00820_173396",NA,NA,NA,NA,NA,NA,NA,NA
"glyS__HW372_RS00825_174317",NA,NA,NA,NA,NA,NA,NA,NA
"hokA__HW372_RS00830_176709",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00835__HW372_RS00835_rc_176909",NA,NA,NA,NA,NA,NA,NA,NA
"cspA__HW372_RS00840_rc_177261",NA,NA,NA,NA,NA,NA,NA,NA
"yiaG__HW372_RS00845_rc_177832",NA,NA,NA,NA,NA,NA,NA,NA
"yiaF__HW372_RS00850_178266",NA,NA,NA,NA,NA,NA,NA,NA
"ghrB__HW372_RS00855_rc_180000",NA,NA,NA,NA,NA,NA,NA,NA
"yiaD__HW372_RS00860_rc_180763",NA,NA,NA,NA,NA,NA,NA,NA
"bisC__HW372_RS00865_180916",NA,NA,NA,NA,NA,NA,NA,NA
"yiaC__HW372_RS00870_rc_183658",NA,NA,NA,NA,NA,NA,NA,NA
"tag__HW372_RS00875_rc_184218",NA,NA,NA,NA,NA,NA,NA,NA
"yhjY__HW372_RS00880_184376",NA,NA,NA,NA,NA,NA,NA,NA
"yhjX__HW372_RS00885_185303",NA,NA,NA,NA,NA,NA,NA,NA
"eptB__HW372_RS00890_186835",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00895__HW372_RS00895_188618",NA,NA,NA,NA,NA,NA,NA,NA
"dppA__HW372_RS00900_189438",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00905__HW372_RS00905_rc_191334",NA,NA,NA,NA,NA,NA,NA,NA
"dppB__HW372_RS00910_191352",NA,NA,NA,NA,NA,NA,NA,NA
"dppC__HW372_RS00915_192381",NA,NA,NA,NA,NA,NA,NA,NA
"dppD__HW372_RS00920_193294",NA,NA,NA,NA,NA,NA,NA,NA
"dppF__HW372_RS00925_194274",NA,NA,NA,NA,NA,NA,NA,NA
"yhjV__HW372_RS00930_rc_196579",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00935__HW372_RS00935_197055",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00940__HW372_RS00940_197538",NA,NA,NA,NA,NA,NA,NA,NA
"bcsG__HW372_RS00945_rc_199410",NA,NA,NA,NA,NA,NA,NA,NA
"bcsF__HW372_RS00950_rc_199598",NA,NA,NA,NA,NA,NA,NA,NA
"bcsE__HW372_RS00955_rc_201166",NA,NA,NA,NA,NA,NA,NA,NA
"bcsR__HW372_RS00960_201439",NA,NA,NA,NA,NA,NA,NA,NA
"bcsQ__HW372_RS00965_201639",NA,NA,NA,NA,NA,NA,NA,NA
"bcsA__HW372_RS00970_202388",NA,NA,NA,NA,NA,NA,NA,NA
"bcsB__HW372_RS00975_205017",NA,NA,NA,NA,NA,NA,NA,NA
"bcsZ__HW372_RS00980_207363",NA,NA,NA,NA,NA,NA,NA,NA
"bcsC__HW372_RS00985_208451",NA,NA,NA,NA,NA,NA,NA,NA
"hmsP__HW372_RS00990_212006",NA,NA,NA,NA,NA,NA,NA,NA
"dctA__HW372_RS00995_214177",NA,NA,NA,NA,NA,NA,NA,NA
"yhjJ__HW372_RS01000_215683",NA,NA,NA,NA,NA,NA,NA,NA
"kdgK__HW372_RS01005_rc_218204",NA,NA,NA,NA,NA,NA,NA,NA
"pdeH__HW372_RS01010_218436",NA,NA,NA,NA,NA,NA,NA,NA
"yhjG__HW372_RS01015_219273",NA,NA,NA,NA,NA,NA,NA,NA
"yhjE__HW372_RS01020_rc_222834",NA,NA,NA,NA,NA,NA,NA,NA
"yhjD__HW372_RS01025_rc_224240",NA,NA,NA,NA,NA,NA,NA,NA
"rcdB__HW372_RS01030_rc_225188",NA,NA,NA,NA,NA,NA,NA,NA
"yhjB__HW372_RS01035_225708",NA,NA,NA,NA,NA,NA,NA,NA
"treF__HW372_RS01040_rc_228010",NA,NA,NA,NA,NA,NA,NA,NA
"ccp__HW372_RS01045_228415",NA,NA,NA,NA,NA,NA,NA,NA
"gadA__HW372_RS01050_230023",NA,NA,NA,NA,NA,NA,NA,NA
"gadX__HW372_RS01055_231791",NA,NA,NA,NA,NA,NA,NA,NA
"gadW__HW372_RS01060_232984",NA,NA,NA,NA,NA,NA,NA,NA
"mdtF__HW372_RS01065_rc_237188",NA,NA,NA,NA,NA,NA,NA,NA
"mdtE__HW372_RS01070_rc_238322",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01075__HW372_RS01075_238430",NA,NA,NA,NA,NA,NA,NA,NA
"gadE__HW372_RS01080_rc_239236",NA,NA,NA,NA,NA,NA,NA,NA
"hdeD__HW372_RS01085_rc_240607",NA,NA,NA,NA,NA,NA,NA,NA
"hdeA__HW372_RS01090_240862",NA,NA,NA,NA,NA,NA,NA,NA
"hdeB__HW372_RS01095_241310",NA,NA,NA,NA,NA,NA,NA,NA
"yhiD__HW372_RS01100_241700",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01105__HW372_RS01105_rc_243169",NA,NA,NA,NA,NA,NA,NA,NA
"shuU__HW372_RS01110_rc_244158",NA,NA,NA,NA,NA,NA,NA,NA
"chuY__HW372_RS01115_rc_244830",NA,NA,NA,NA,NA,NA,NA,NA
"hutX__HW372_RS01120_rc_245324",NA,NA,NA,NA,NA,NA,NA,NA
"hutW__HW372_RS01125_rc_246674",NA,NA,NA,NA,NA,NA,NA,NA
"chuT__HW372_RS01130_rc_247608",NA,NA,NA,NA,NA,NA,NA,NA
"chuA__HW372_RS01135_248292",NA,NA,NA,NA,NA,NA,NA,NA
"chuS__HW372_RS01140_250323",NA,NA,NA,NA,NA,NA,NA,NA
"dctR__HW372_RS01145_rc_251938",NA,NA,NA,NA,NA,NA,NA,NA
"slp__HW372_RS01150_rc_252657",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01155__HW372_RS01155_rc_253224",NA,NA,NA,NA,NA,NA,NA,NA
"arsC__HW372_RS01160_rc_254266",NA,NA,NA,NA,NA,NA,NA,NA
"dinQ__HW372_RS01165_254601",NA,NA,NA,NA,NA,NA,NA,NA
"gorA__HW372_RS01170_rc_256090",NA,NA,NA,NA,NA,NA,NA,NA
"rlmJ__HW372_RS01175_rc_257004",NA,NA,NA,NA,NA,NA,NA,NA
"prlC__HW372_RS01180_257207",NA,NA,NA,NA,NA,NA,NA,NA
"rsmJ__HW372_RS01185_259257",NA,NA,NA,NA,NA,NA,NA,NA
"dtpB__HW372_RS01190_rc_261527",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS24420/pseudo__HW372_RS24420_261703",NA,NA,NA,NA,NA,NA,NA,NA
"uspA__HW372_RS01200_rc_262278",NA,NA,NA,NA,NA,NA,NA,NA
"uspB__HW372_RS01205_262669",NA,NA,NA,NA,NA,NA,NA,NA
"pitA__HW372_RS01210_rc_264574",NA,NA,NA,NA,NA,NA,NA,NA
"yhiN__HW372_RS01215_264806",NA,NA,NA,NA,NA,NA,NA,NA
"yhiM__HW372_RS01220_rc_267138",NA,NA,NA,NA,NA,NA,NA,NA
"yhiY__HW372_RS01225_267696",NA,NA,NA,NA,NA,NA,NA,NA
"yhiI__HW372_RS01230_267872",NA,NA,NA,NA,NA,NA,NA,NA
"rbbA__HW372_RS01235_268936",NA,NA,NA,NA,NA,NA,NA,NA
"yhhJ__HW372_RS01240_271671",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01245__HW372_RS01245_rc_273756",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01250__HW372_RS01250_rc_274057",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01255__HW372_RS01255_rc_275555",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01260__HW372_RS01260_rc_276906",NA,NA,NA,NA,NA,NA,NA,NA
